Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Plan_Efficiency,Failure_Mode,SFA_Response,Error
1,What was the total revenue in 2024?,structured,easy,1.000,1.000,1.000,0.184,0.755,True,False,50%,none,The total revenue for 2024 was $2.89B.   | Total Revenue | |---------------:| |     $2.89B     |,
2,What was the net income in 2023?,structured,easy,1.000,1.000,0.000,0.000,0.400,False,False,100%,wrong_value,The net income for 2023 was -$6.50B.   | Net Income 2023 |  |-----------------| |     -$6.50B     |,
3,What was the gross profit in Q1 2024?,structured,easy,1.000,1.000,1.000,0.189,0.757,True,False,100%,none,The gross profit for Q1 2024 was $6.94M.   | Year | Quarter | Gross Profit | |-------|---------|--------------| | 2024  | 1       | $6.94M       |,
4,What is the operating margin for Q2 2024?,structured,easy,1.000,1.000,1.000,0.270,0.781,True,False,100%,none,The operating margin for Q2 2024 is -102.79%.   | Operating Margin | |------------------| | -102.79%         |,
5,What was the cost of revenue in 2022?,structured,easy,1.000,1.000,0.000,0.000,0.400,False,False,100%,wrong_value,The cost of revenue in 2022 was -$1.70B.   | Cost of Revenue (2022) | |------------------------:| |           -$1.70B      |,
6,What was the average market volatility in 2024?,structured,easy,1.000,1.000,1.000,0.134,0.740,True,False,50%,none,The average market volatility in 2024 was 1.74619.   | Year | Average Rolling Volatility | |-------|-------------------------:| | 2024  |                  1.74619 |,
7,What was the daily return on 2024-12-31?,structured,easy,1.000,1.000,1.000,0.684,0.905,True,False,50%,none,The daily return on 2024-12-31 was 0.01%.  | Daily Return | |--------------:| |          0.01% |,
8,What was table net margin for 2024?,structured,easy,1.000,1.000,1.000,0.309,0.793,True,False,50%,none,The table net margin for 2024 was -2.98%.   | Quarter | Net Margin | |---------|------------| | Q1      | -2.93%     | | Q2      | -3.04%     | | Q3      | -2.96%     | | Q4      | -2.98%     |,
9,Show me the revenue for 2015.,structured,easy,1.000,1.000,1.000,0.122,0.736,True,False,100%,none,The revenue for 2015 is $520.87M.   | Quarter | Revenue | |---------|---------| | Q1      | $123.33M | | Q2      | $128.00M | | Q3      | $131.30M | | Q4      | $138.24M |,
10,What is the total operating expenses for 2024?,structured,easy,1.000,1.000,0.000,0.000,0.400,False,False,100%,wrong_value,The total operating expenses for 2024 is $5.77B.   | Total Operating Expenses | |---------------------------:| |               $5.77B     |,
11,Compare the revenue of 2023 and 2024.,structured,medium,1.000,1.000,0.500,0.252,0.626,True,False,100%,none,The revenue for 2023 and 2024 is as follows:  | Year | Total Revenue | |-------|---------------| | 2023  | $2.19B        | | 2024  | $2.89B        |  Revenue increased from $2.19B in 2023 to $2.89B in 2024.,
12,Was the net margin higher in 2023 or 2024?,structured,medium,1.000,1.000,0.500,0.199,0.610,True,False,50%,none,The net margin was -2.97% in 2023 and -2.98% in 2024.   | Year | Average Net Margin | |-------|--------------------| | 2023  | -2.97%             | | 2024  | -2.98%             |  The net margin was slightly lower in 2024.,
13,Compare the average volatility in 2023 versus 2024.,structured,medium,1.000,1.000,0.500,0.178,0.604,True,False,50%,none,The average volatility in 2023 was 1.83445 and 1.74619 in 2024. The average volatility decreased by 0.088259 from 2023 to 2024.  | Year | Average Volatility | |-------|-------------------| | 2023  |        1.83445    | | 2024  |        1.74619    |,
14,Did gross profit increase from Q1 2024 to Q2 2024?,structured,medium,1.000,1.000,0.500,0.107,0.582,False,False,100%,none,Gross profit was $6.94M in Q1 2024 and -$10.16M in Q2 2024.  The gross profit difference between Q1 2024 and Q2 2024 was -$17.10M.  Gross profit did not increase from Q1 2024 to Q2 2024.   |  Quarter |   Gross Profit | |----------:|----------------:| |        1 |       $6.94M   | |        2 |      -$10.16M  |,
15,What is the average yearly revenue from 2020 to 2024?,structured,medium,1.000,1.000,1.000,0.051,0.715,True,False,100%,none,The average yearly revenue from 2020 to 2024 is $1.853B.   | Average Yearly Revenue | |-----------------------:| |          $1.85B       |,
16,Compare operating expenses between 2022 and 2024.,structured,medium,1.000,1.000,0.500,0.307,0.642,True,False,100%,none,Operating expenses for 2022 were $1.70B and $2.87B for 2024. The difference between 2024 and 2022 operating expenses is $1.20B.  | Year | Operating Expenses | |-------|--------------------| | 2022  | $1.70B             | | 2024  | $2.87B             |,
17,What is the ratio of cost of revenue to revenue in 2024?,structured,medium,1.000,1.000,1.000,0.043,0.713,True,False,100%,none,The cost of revenue to revenue ratio for 2024 is not directly available. However; the ratio of cost of revenue to revenue can be inferred from given data.  |   quarter |   cost_to_revenue_ratio | |----------:|------------------------:| |         1 |               -0.989265 | |         2 |               -1.01491  | |         3 |               -0.978007 | |         4 |               -0.984404 |,
18,Compare the highest volatility in 2023 vs 2024.,structured,medium,1.000,1.000,0.500,0.872,0.812,True,False,50%,none,The highest volatility in 2023 was 4.26 and in 2024 was 7.22. The difference in maximum volatility between 2024 and 2023 was 2.96.  | Year | Max Volatility | |-------|---------------:| | 2023  |          4.26 | | 2024  |          7.22 |,
19,Is the average net margin positive for the last 3 years (2023-2025)?,structured,medium,1.000,1.000,1.000,0.146,0.744,True,False,33%,none,The average net margin for the years 2023-2025 is -2.67512.   | Average Net Margin | |--------------------:| |           -2.68%    |,
20,Compare total net loss between 2020 and 2021.,structured,medium,1.000,1.000,0.500,0.282,0.635,True,False,100%,none,The total net loss in 2020 was $3.38B and $4.07B in 2021. The net loss increased by $689.92M.  | Year | Total Net Loss | |-------|----------------| | 2020  | $3.38B         | | 2021  | $4.07B         |,
21,Plot the revenue trend from 2020 to 2025.,graph,medium,1.000,1.000,0.500,0.122,0.587,False,False,100%,none,The revenue trend from 2020 to 2025 shows a steady increase.   | Year | Total Revenue | |-------|---------------| | 2020  | $1.13B        | | 2021  | $1.36B        | | 2022  | $1.69B        | | 2023  | $2.19B        | | 2024  | $2.89B        | | 2025  | $5.65B        |,
22,Show me a graph of net income over the last 5 years.,graph,medium,1.000,1.000,0.500,0.265,0.629,True,False,100%,none,The net income for the last 5 years is as follows:  | Year | Net Income | |-------|------------| | 2021  | -$3.76B    | | 2022  | -$5.15B    | | 2023  | -$6.40B    | | 2024  | -$8.62B    | | 2025  | -$9.59B    |  To calculate the net income for each year; the provided quarterly data was summed.  The data spans from Q1 2021 to Q2 2025.,
23,Plot the daily stock price for 2024.,graph,medium,1.000,1.000,0.500,0.242,0.623,True,False,50%,none,To plot the daily stock price for 2024; I will provide the essential facts.  The daily stock prices for 2024 are based on daily returns. Here are the key statistics:  - The stock's daily returns ranged from -12.77% on 2024-01-28 to 8.99% on 2024-05-20.  Here is a summary of daily stock return data for 2024:  | Date       | Daily Return % | |------------|----------------| | 2024-01-01 | 0.34           | | ...        | ...            | | 2024-09-30 | 1.31           |  To accurately plot the stock ,
24,Visualize the volatility trend in Q1 2024.,graph,medium,1.000,1.000,0.500,0.165,0.600,False,False,50%,none,The average rolling volatility for Q1 2024 is 2.1167.   No additional data available for further analysis.   |  Period  | Average Rolling Volatility | |----------:|---------------------------:| | Q1 2024  |                     2.1167 |,
25,Graph the gross margin vs operating margin for 2024.,graph,medium,1.000,1.000,0.500,0.366,0.660,True,False,50%,none,The gross margin and operating margin for 2024 are as follows:  | Quarter | Gross Margin (%) | Operating Margin (%) | | --- | --- | --- | | Q1 | 1.07% | -99.96% | | Q2 | -1.49% | -102.79% | | Q3 | 2.20% | -96.69% | | Q4 | 1.56% | -98.00% |  Graph:  Gross Margin: 1.07%; -1.49%; 2.20%; 1.56% Operating Margin: -99.96%; -102.79%; -96.69%; -98.00%  plotted against quarters.,
26,Show a bar chart of quarterly revenue in 2023.,graph,easy,1.000,1.000,0.500,0.173,0.602,True,False,100%,none,**Quarterly Revenue in 2023**  | Quarter | Revenue | | --- | --- | | Q1 | $498.83M | | Q2 | $526.00M | | Q3 | $557.44M | | Q4 | $608.00M |  The bar chart shows the quarterly revenue for 2023; with revenues increasing each quarter. The total revenue for the year is not provided; but the quarterly breakdown is as shown.,
