Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Plan_Efficiency,Failure_Mode,SFA_Response,Error
1,What was the total revenue in 2024?,structured,easy,1,1,1,0.182,0.754,TRUE,FALSE,100%,none,The total revenue in 2024 was $2.89B.   | **Total Revenue 2024** | |----------------------:| | $2.89B                |,
2,What was the net income in 2023?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The net income in 2023 was -$6.50B.   No further breakdown is available.,
3,What was the gross profit in Q1 2024?,structured,easy,1,0,1,0.193,0.558,TRUE,FALSE,100%,none,The gross profit in Q1 2024 was $6.94M.   | Year | Quarter | Gross Profit | |-------|---------|--------------| | 2024  |    1    | $6.94M       |,
4,What is the operating margin for Q2 2024?,structured,easy,1,1,1,0.27,0.781,TRUE,FALSE,50%,none,The operating margin for Q2 2024 is -102.79%.   | Operating Margin | |------------------| | -102.79%         |,
5,What was the cost of revenue in 2022?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The cost of revenue in 2022 was -$1.70B.   | Year | Total Cost of Revenue | |-------|----------------------| | 2022 | -$1.70B              |,
6,What was the average market volatility in 2024?,structured,easy,1,1,1,0.161,0.748,TRUE,FALSE,50%,none,The average market volatility in 2024 was 1.74619. To express this as a percentage; it is 174.62%.   | Average Volatility |  |------------------:| |         174.62%   |,
7,What was the daily return on 2024-12-31?,structured,easy,1,1,1,0.61,0.883,TRUE,FALSE,50%,none,The daily return on 2024-12-31 was 0.01 or 1%.   | Daily Return Pct | |-----------------| | 1%               |,
8,What was table net margin for 2024?,structured,easy,1,1,1,0.323,0.797,TRUE,FALSE,100%,none,The net margin for 2024 was -2.9791; which is equivalent to -297.91%.   | Year | Net Margin | |-------|------------| | 2024  | -297.91%   |,
9,Show me the revenue for 2015.,structured,easy,1,1,0,0,0.4,FALSE,FALSE,50%,wrong_value,The revenue for 2015 is shown below:  | Quarter | Revenue | |---------|---------| | Q1      | $123.33M | | Q2      | $128.00M | | Q3      | $131.30M | | Q4      | $138.24M |  Total revenue for 2015 is not explicitly calculable; but individual quarter revenues are provided.,
10,What is the total operating expenses for 2024?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The total operating expenses for 2024 is -$2.90B.  This value is derived from the sum of quarterly operating expenses:  | Quarter | Operating Expenses | |---------|--------------------| | Q1      | -$652.32M         | | Q2      | -$690.00M         | | Q3      | -$743.71M         | | Q4      | -$810.51M         |  Total:   | -$2.897B          |,
11,Compare the revenue of 2023 and 2024.,structured,medium,1,0,0.5,0.253,0.426,TRUE,FALSE,50%,none,Data not available for this period.,
