Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Plan_Efficiency,Failure_Mode,SFA_Response,Error
1,What was the total revenue in 2024?,structured,easy,1,1,1,0.929,0.979,TRUE,FALSE,100%,none,The total revenue for 2024 was $43.99B.   |  Total Revenue  | |----------------:| |     $43.99B     |,
2,What is the net income for 2024?,structured,easy,1,1,1,0.794,0.938,TRUE,FALSE,100%,none,The net income for 2024 is:  | Quarter | Net Income | |---------|------------| | Q1      | $18.74B    | | Q2      | $17.22B    | | Q3      | $25.07B    | | Q4      | $25.06B    |  The total net income for 2024 is $86.69B.,
3,What was the revenue in Q1 2024?,structured,easy,1,1,1,0.87,0.961,TRUE,FALSE,50%,none,The revenue for Q1 2024 was $10.33B.   | Fiscal Year | Fiscal Quarter | Revenue | |-------------|----------------|----------| | 2024        | 1              | $10.33B  |,
4,What was the average stock price in 2024?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,50%,wrong_value,The average stock price in 2024 was $380.33.   No additional data available.,
5,What was the gross profit in 2024?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The gross profit for 2024 is reported by quarter:  | Fiscal Quarter | Gross Profit | | --- | --- | | Q1 2024 | -$10.78B | | Q2 2024 | -$3.51B | | Q3 2024 | -$11.78B | | Q4 2024 | -$7.02B |,
6,What was the revenue in 2023?,structured,easy,1,1,1,0.938,0.981,TRUE,FALSE,100%,none,The revenue for 2023 was $28.27B.   | Total Revenue | |---------------:| |     $28.27B    |,
7,Show me the revenue by quarter for 2024,structured,medium,1,1,0.5,0.925,0.827,TRUE,FALSE,50%,none,Revenue for 2024 by quarter is:  | Quarter | Revenue | |---------|---------| | Q1      | $10.33B | | Q2      | $12.34B | | Q3      | $7.50B  | | Q4      | $13.83B |  Revenue ranged from $7.50B to $13.83B across quarters in 2024.,
8,What was the highest stock price in 2024?,structured,medium,1,1,1,0.925,0.977,TRUE,FALSE,50%,none,The highest stock price in 2024 was $426.40. This information is based on the available data for that year.   | Highest Closing Price in 2024 |  |-------------------------------:| |                          426.4 |,
9,What was the lowest stock price in 2024?,structured,medium,1,1,1,0.958,0.987,TRUE,FALSE,100%,none,The lowest stock price in 2024 was $323.50.   | Lowest Stock Price in 2024 | |---------------------------:| |                  323.50   |,
10,What was the total trading volume in 2024?,structured,medium,1,1,1,0.808,0.942,TRUE,FALSE,50%,none,The total trading volume for 2024 was $920.56M.  No additional data is available.   |  Total Trading Volume  | |-----------------------:| |       $920.56M         |,
11,Compare revenue between 2023 and 2024,structured,medium,1,1,0.5,0.866,0.81,TRUE,FALSE,100%,none,Revenue for 2023 was $28.27B and $43.99B for 2024. The revenue difference between 2023 and 2024 is $15.72B.  |  Year | Revenue | |-------|---------| |  2023 | $28.27B | |  2024 | $43.99B |,
12,What was the net income in Q2 2024?,structured,medium,1,1,1,0.895,0.968,TRUE,FALSE,100%,none,The net income for Q2 2024 was $17.218B.   | Fiscal Year | Fiscal Quarter | Net Income | |-------------|----------------|------------| | 2024        | 2              | $17.218B   |,
13,What quarter had the highest revenue in 2024?,structured,hard,1,1,0.5,0.823,0.797,TRUE,FALSE,100%,none,The synthetic company's highest revenue in 2024 was in Q4.  The revenue for Q4 2024 was $13.83B.  | Fiscal Quarter | Revenue | | --- | --- | | 4 | $13.83B |,
14,What quarter had the lowest revenue in 2024?,structured,hard,1,1,0.5,0.851,0.805,TRUE,FALSE,100%,none,The lowest revenue in 2024 occurred in Q3.  |   fiscal_year |   fiscal_quarter |     revenue | |--------------:|-----------------:|------------:| |          2024 |                3 | $7.50B     |,
