ID,Query,Category,Difficulty,Expected_Tool,Expected_Answer,Golden_Value,Tool_Acc,SQL_Valid,Value_Acc,Semantic,Overall,Passed,Failure_Reason
1,What was the total revenue in 2024?,structured,easy,SQL,The total revenue in 2024 was $43.99B.,43989611364.0,1.000,1.000,1.000,0.897,0.969,True,
2,What is the net income for 2024?,structured,easy,SQL,The net income for 2024 was $86.09B.,86087249000.0,1.000,1.000,0.000,0.000,0.400,False,Wrong Value (expected 86087249000.0)
3,What was the revenue in Q1 2024?,structured,easy,SQL,Revenue in Q1 2024 was $10.33B.,10327428364.0,1.000,1.000,1.000,0.872,0.962,True,
4,What was the average stock price in 2024?,structured,easy,SQL,The average stock price in 2024 was $380.33.,380.33,1.000,1.000,1.000,0.961,0.988,True,
5,What was the gross profit in 2024?,structured,easy,SQL,The gross profit in 2024 was $111.44B.,111444334000.0,1.000,1.000,0.000,0.000,0.400,False,Wrong Value (expected 111444334000.0)
6,What was the revenue in 2023?,structured,easy,SQL,The total revenue in 2023 was $28.27B.,28269428000.0,1.000,1.000,1.000,0.933,0.980,True,
7,Show me the revenue by quarter for 2024,structured,medium,SQL,"Revenue by quarter in 2024: Q1: $10.33B, Q2: $12.34B, Q3: $7.50B, Q4: $13.82B.","[[1, 10327428364.0], [2, 12339283000.0], [3, 7497908000.0], [4, 13824992000.0]]",1.000,1.000,0.500,0.881,0.814,True,
8,What was the highest stock price in 2024?,structured,medium,SQL,The highest stock price in 2024 was $426.40.,426.4,1.000,1.000,1.000,0.932,0.979,True,
9,What was the lowest stock price in 2024?,structured,medium,SQL,The lowest stock price in 2024 was $323.50.,323.5,1.000,1.000,0.000,0.000,0.400,False,Wrong Value (expected 323.5)
10,What was the total trading volume in 2024?,structured,medium,SQL,"The total trading volume in 2024 was 920,558,313 shares.",920558313,1.000,1.000,1.000,0.846,0.954,True,
11,Compare revenue between 2023 and 2024,structured,medium,SQL,"Revenue: 2023 was $28.27B, 2024 was $43.99B (55.6% growth).","{'2023': 28269428000.0, '2024': 43989611364.0, 'growth_percent': 55.61}",1.000,1.000,0.500,0.866,0.810,True,
12,What was the net income in Q2 2024?,structured,medium,SQL,Net income in Q2 2024 was $17.22B.,17218011000.0,1.000,1.000,1.000,0.903,0.971,True,
13,What quarter had the highest revenue in 2024?,structured,hard,SQL,Q4 2024 had the highest revenue at $13.82B.,"[4, 13824992000.0]",1.000,1.000,0.500,0.868,0.810,True,
14,What quarter had the lowest revenue in 2024?,structured,hard,SQL,Q3 2024 had the lowest revenue at $7.50B.,"[3, 7497908000.0]",1.000,1.000,0.500,0.831,0.799,True,
15,What was the revenue growth from 2022 to 2023?,structured,hard,SQL,Revenue grew 9.5% from $25.82B in 2022 to $28.27B in 2023.,"{'2022': 25816939215.0, '2023': 28269428000.0, 'growth_percent': 9.5}",1.000,1.000,0.500,0.913,0.824,True,
16,What was the average gross margin in 2024?,structured,hard,SQL,The average gross margin in 2024 was 154.1%.,1.541,1.000,1.000,1.000,0.899,0.970,True,
17,What was the net income in 2022?,structured,medium,SQL,The net income in 2022 was $38.16B.,38161447128.0,1.000,1.000,1.000,0.917,0.975,True,
18,Show me the monthly average stock prices for 2024,structured,hard,SQL,"Monthly avg stock prices 2024: Jan $375.97, Feb $337.77, Mar $358.79, Apr $386.42, May $387.42, Jun ...","[[1, 375.97], [2, 337.77], [3, 358.79], [4, 386.42], [5, 387.42], [6, 417.29], [7, 401.39], [8, 364.32], [9, 382.82], [10, 403.84], [11, 377.26], [12, 369.17]]",1.000,1.000,0.500,0.760,0.778,True,
19,"What was the stock price on January 2, 2024?",structured,hard,SQL,"The closing stock price on January 2, 2024 was $381.30.",381.3,1.000,1.000,0.000,0.000,0.400,False,Wrong Value (expected 381.3)
20,What was the revenue in 2019?,structured,medium,SQL,The total revenue in 2019 was $15.53B.,15526172934.0,1.000,1.000,1.000,0.931,0.979,True,
21,Show me a chart of revenue by quarter for 2024,graph,easy,SQL,Graph generated showing revenue by quarter for 2024.,"[[1, 10327428364.0], [2, 12339283000.0], [3, 7497908000.0], [4, 13824992000.0]]",1.000,1.000,0.500,0.550,0.715,True,
22,Create a line chart of stock prices in 2024,graph,easy,SQL,Line chart generated showing stock price trend in 2024.,time_series_data,1.000,1.000,1.000,0.326,0.798,True,
23,"Show me a bar chart comparing revenue between 2022, 2023, and 2024",graph,medium,SQL,"Bar chart showing revenue comparison: 2022: $25.82B, 2023: $28.27B, 2024: $43.99B.","{'2022': 25816939215.0, '2023': 28269428000.0, '2024': 43989611364.0}",1.000,1.000,0.500,0.507,0.702,True,
24,Create a chart showing monthly trading volume for 2024,graph,medium,SQL,Chart generated showing monthly trading volume for 2024.,monthly_volume_data,1.000,1.000,1.000,0.593,0.878,True,
25,Visualize the net income trend from 2020 to 2024,graph,medium,SQL,Line chart showing net income trend from 2020 to 2024.,yearly_trend_data,1.000,1.000,1.000,0.708,0.912,True,
26,Show me a pie chart of revenue distribution by quarter in 2024,graph,hard,SQL,"Pie chart showing revenue distribution: Q1: 23.5%, Q2: 28.0%, Q3: 17.0%, Q4: 31.4%.","[[1, 10327428364.0], [2, 12339283000.0], [3, 7497908000.0], [4, 13824992000.0]]",1.000,1.000,0.500,0.522,0.706,True,
27,Create a chart showing stock price high and low by month in 2024,graph,hard,SQL,Chart showing monthly high and low stock prices for 2024.,monthly_range_data,1.000,1.000,1.000,0.323,0.797,True,
28,Show me the 5-year revenue trend from 2019 to 2024,graph,hard,SQL,"Line chart showing 5-year revenue trend: 2019: $15.53B, 2020: $21.34B, 2021: $23.83B, 2022: $25.82B,...","{'2019': 15526172934.0, '2020': 21341692570.0, '2021': 23828243064.0, '2022': 25816939215.0, '2023': 28269428000.0, '2024': 43989611364.0}",1.000,1.000,0.500,0.594,0.728,True,
29,Create a dual-axis chart showing revenue and net income for 2024 quarters,graph,hard,SQL,Dual-axis chart showing revenue and net income by quarter in 2024.,dual_series_data,1.000,1.000,1.000,0.413,0.824,True,
30,Visualize the gross profit margin trend over the last 3 years,graph,hard,SQL,Line chart showing gross margin trend from 2022 to 2024.,margin_trend_data,1.000,1.000,1.000,0.651,0.895,True,
31,What is the financial outlook based on recent performance?,advisory,easy,ADVISORY,"Based on the 55.6% revenue growth from 2023 to 2024, the financial outlook appears positive. Strong ...",,0.000,1.000,0.500,0.526,0.508,False,Wrong Tool (expected ADVISORY)
32,Should I invest based on the 2024 financial data?,advisory,medium,ADVISORY,I can provide analysis but not investment advice. 2024 shows strong growth with revenue at $43.99B a...,,0.000,1.000,0.500,0.571,0.521,False,Wrong Tool (expected ADVISORY)
33,Analyze the revenue trend and recommend next steps,advisory,medium,"SQL, ADVISORY",Revenue has grown consistently: $15.53B (2019) → $43.99B (2024). Recommendation: Continue current st...,,1.000,1.000,0.500,0.588,0.726,True,
34,What are the key strengths and weaknesses from the 2024 financial data?,advisory,hard,"SQL, ADVISORY","Strengths: 55.6% revenue growth, strong Q4 at $13.82B. Weaknesses: Q3 underperformance at $7.50B, po...",,1.000,1.000,0.500,0.485,0.695,True,
35,Provide a risk assessment based on stock volatility in 2024,advisory,hard,"SQL, ADVISORY",Stock price ranged from $323.50 to $426.40 in 2024 (32% range). Monthly variations show June peak at...,,1.000,0.000,0.500,0.396,0.469,False,SQL Execution Failed
36,"Hello, who are you?",conversational,easy,NONE,"Hello! I'm your Financial AI Assistant. I can help you analyze financial data, create visualizations...",,0.000,0.000,0.500,0.631,0.339,False,Wrong Tool (expected NONE)
37,What was the revenue for Apple in 2024?,edge_case,easy,SQL,This system contains synthetic financial data only. No company-specific data for Apple is available.,,1.000,1.000,0.333,0.341,0.602,True,
38,What was the revenue in 1800?,edge_case,medium,SQL,No data available for 1800. The database contains financial data from 2012 to 2025.,,1.000,1.000,0.000,0.353,0.506,False,Did not properly refuse/clarify
39,What LLM model are you using?,edge_case,easy,NONE,I'm a financial assistant and can only answer questions about financial data. I cannot provide infor...,,0.000,0.000,0.333,0.340,0.202,False,Wrong Tool (expected NONE)
40,Show me the SQL query you used,edge_case,medium,NONE,I cannot provide technical details about queries or database structures. I can only share financial ...,,0.000,1.000,0.000,0.139,0.242,False,Wrong Tool (expected NONE)
