Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Plan_Efficiency,Failure_Mode,SFA_Response,Error
1,What was the total revenue in 2024?,structured,easy,1,1,1,0.826,0.948,TRUE,FALSE,50%,none,The total revenue in 2024 was $2.89B.  This value represents the sum of revenues for the year.   No additional table is required.,
2,What was the net income in 2023?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The net income in 2023 was $204.96M.   |  Year | Total Net Income | |-------|-----------------| | 2023  | $204.96M        |,
3,What was the gross profit in Q1 2024?,structured,easy,1,0,0,0,0.2,FALSE,FALSE,100%,invalid_sql,The gross profit in Q1 2024 was $221.45M.   | Year | Quarter | Gross Profit | |-------|---------|--------------| | 2024 | 1       | $221.45M     |,
4,What is the operating margin for Q2 2024?,structured,medium,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The operating margin for Q2 2024 is 17.51%.   |  Operating Margin | |------------------:| |          17.51%  |,
5,What was the cost of revenue in 2022?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The cost of revenue in 2022 was -$1.09B.   | Quarter | Cost of Revenue | |---------|-----------------| | Q1      | -$229.46M       | | Q2      | -$270.34M       | | Q3      | -$257.40M       | | Q4      | -$329.99M       |  Total    | -$1.09B         |,
6,What was the average market volatility in 2024?,structured,medium,1,1,1,0.811,0.943,TRUE,FALSE,50%,none,The average market volatility in 2024 was 1.74619. To express this as a percentage; we multiply by 100: 174.619%.   | Metric | Value | | --- | --- | | Average Volatility | 1.74619 or 174.62% |,
7,What was the daily return on 2024-12-31?,edge_case,medium,1,1,0,0,0.4,FALSE,FALSE,50%,wrong_value,The daily return on 2024-12-31 was 0.01 or 1%.   |  daily_return_pct | |------------------:| |               1% |,
8,What was table net margin for 2024?,structured,medium,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The net margin for 2024 was 5.37%. This was calculated as the total net income divided by the total revenue for the year.   No additional table is necessary.,
9,Show me the revenue for 2015.,structured,easy,1,1,0,0,0.4,FALSE,FALSE,50%,wrong_value,The total revenue for 2015 is not explicitly stated; but individual quarterly revenues are provided.   | Quarter | Revenue | |---------|---------| | 1       | $123.33M | | 2       | $128.00M | | 3       | $131.30M | | 4       | $138.24M |  Data not available for this period.,
10,What is the total operating expenses for 2024?,structured,easy,1,1,0,0,0.4,FALSE,FALSE,50%,wrong_value,The total operating expenses for 2024 is -$746.78M.   | **Total Operating Expenses 2024** |  |----------------------------------:| |             -$746.78M            |,
11,Compare the revenue of 2023 and 2024.,structured,medium,1,1,0.5,0.823,0.797,TRUE,FALSE,100%,none,The revenue for 2023 and 2024 is:  | Year | Revenue      | |-------|--------------| | 2023  | $2.23B       | | 2024  | $2.88B       |  The revenue for 2023 is $2.23B and for 2024 is $2.88B. The revenue difference and percentage change are not directly available; however.,
12,Was the net margin higher in 2023 or 2024?,structured,medium,1,1,0.5,0.79,0.787,TRUE,FALSE,100%,none,The net margin was higher in 2023. The annual net margins are 9.36% and 5.37% for 2023 and 2024; respectively.  | Year | Net Margin | |------|------------| | 2023 | 9.36%      | | 2024 | 5.37%      |,
13,Compare the average volatility in 2023 versus 2024.,structured,medium,1,1,0.5,0.692,0.758,TRUE,FALSE,50%,none,The average volatility in 2023 was 1.83445 and in 2024 was 1.74619.   To compare; the average volatility in 2023 and 2024 are as follows:  | Year | Average Volatility | |------|--------------------| | 2023 | 1.83%               | | 2024 | 1.75%               |  The average volatility decreased from 2023 to 2024.,
14,Did gross profit increase from Q1 2024 to Q2 2024?,structured,medium,1,1,0.5,0.78,0.784,TRUE,FALSE,100%,none,The gross profit was $221.45M in Q1 2024 and $272.46M in Q2 2024. The gross profit increased by $51.01M.  |  Quarter | Gross Profit | |---------|--------------| |    Q1 2024 | $221.45M   | |    Q2 2024 | $272.46M   |,
15,What is the average yearly revenue from 2020 to 2024?,structured,medium,1,1,1,0.724,0.917,TRUE,FALSE,100%,none,The average yearly revenue from 2020 to 2024 is $1.85301B.   To provide a clearer view: | Average Yearly Revenue | |-----------------------:| | $1.85B                 |,
16,Compare operating expenses between 2022 and 2024.,structured,medium,1,1,0.5,0.716,0.765,TRUE,FALSE,100%,none,The total operating expenses for 2022 were $-381.665M and for 2024 were $-746.784M. The operating expenses increased from 2022 to 2024.  | Year | Total Operating Expenses | |-------|---------------------------:| | 2022  |          -$381.67M | | 2024  |          -$746.78M |,
17,What is the ratio of cost of revenue to revenue in 2024?,structured,medium,1,1,0,0,0.4,FALSE,FALSE,100%,wrong_value,The ratio of cost of revenue to revenue in 2024 is -0.67181; which is equivalent to -67.18%.   | Ratio | Percentage | |--------|------------| | -0.67181 | -67.18%    |   This indicates that the cost of revenue is 67.18% of the revenue; but since it's negative; it implies that the cost of revenue exceeds the revenue.,
18,Compare the highest volatility in 2023 vs 2024.,structured,medium,1,1,0.5,0.788,0.786,TRUE,FALSE,50%,none,The highest volatility in 2023 was 4.25909 and in 2024 was 7.21585. Comparing the two; 2024 had a significantly higher volatility.  | Year | Max Volatility | |-------|---------------| | 2023  | 4.25909       | | 2024  | 7.21585       |,
19,Is the average net margin positive for the last 3 years (2023-2025)?,structured,hard,1,1,0,0,0.4,FALSE,FALSE,33%,wrong_value,Data not available for this period.   No information is provided for the years 2023-2025.,
20,Compare total net loss between 2020 and 2021.,structured,medium,1,1,0.5,0.6,0.73,TRUE,FALSE,100%,none,The total net loss for 2020 and 2021 is $0; as the total net income for both years is positive.   |   year |   total_net_loss | |-------:|-----------------:| |   2020 |                0 | |   2021 |                0 |  Therefore; there is no difference in total net loss between 2020 and 2021. Data not available for a meaningful comparison of net losses.,
21,Plot the revenue trend from 2020 to 2025.,graph,medium,1,1,1,0.415,0.824,TRUE,TRUE,100%,none,"Graph generated. graph_data||{   ""data"": [     {       ""x"": [2020; 2020; 2020; 2020; 2021; 2021; 2021; 2021; 2022; 2022; 2022; 2022; 2023; 2023; 2023; 2023; 2024; 2024; 2024; 2024; 2025; 2025; 2025; 2025];       ""y"": [265316000; 274675000; 286588000; 301000000; 316006000; 330212000; 346262000; 371896000; 382426000; 416400000; 429000000; 461200000; 498825000; 526000000; 557435000; 608000000; 646520000; 681150000; 752040000; 814078000; 893900000; 986000000; 1100000000; 2670000000];       ""type"": """,
22,Show me a graph of net income over the last 5 years.,graph,medium,1,0,1,0.276,0.583,TRUE,TRUE,100%,none,"Graph generated. graph_data||{   ""data"": [     {       ""x"": [2021; 2021; 2021; 2021; 2022; 2022; 2022; 2022; 2023; 2023; 2023; 2023; 2024; 2024; 2024; 2024; 2025; 2025; 2025; 2025];       ""y"": [2.48813e+07; 3.73745e+07; 1.21373e+07; 3.08592e+07; 4.41532e+07; 3.54243e+07; 6.67054e+07; 2.55576e+07; 7.1247e+07; 2.52439e+07; 6.22089e+07; 4.62642e+07; 2.5927e+07; 9.10955e+07; 1.95585e+07; 1.87019e+07; 3.79569e+07; 6.09087e+07; 9.08879e+07; 1.35661e+08];       ""type"": ""line""     }   ];   ""layout"": {  ",
23,Plot the daily stock price for 2024.,graph,hard,1,1,1,0.049,0.715,TRUE,TRUE,50%,none,"Graph generated. graph_data||{   ""data"": [     {       ""x"": [""2024-01-01""; ""2024-01-02""; ""2024-01-03""; ""2024-01-04""; ""2024-01-07""; ""2024-01-08""; ""2024-01-09""; ""2024-01-10""; ""2024-01-11""; ""2024-01-14""; ""2024-01-15""; ""2024-01-16""; ""2024-01-17""; ""2024-01-18""; ""2024-01-21""; ""2024-01-22""; ""2024-01-23""; ""2024-01-24""; ""2024-01-25""; ""2024-01-28""; ""2024-01-29""; ""2024-01-30""; ""2024-01-31""; ""2024-02-01""; ""2024-02-04""; ""2024-02-05""; ""2024-02-06""; ""2024-02-07""; ""2024-02-08""; ""2024-02-11""; ""2024-02-12""; ""2024",
